ResourceGroup,ResourceName,ResourceType,Region,Date,Cost,Currency,Tags
lab-master-lab,apim-pavavy6pu5hpa,Microsoft.ApiManagement,uksouth,2024-01-15,250.50,USD,env=prod;project=ai-gateway
lab-master-lab,foundry1-pavavy6pu5hpa,Microsoft.CognitiveServices,uksouth,2024-01-15,1200.75,USD,env=prod;project=ai-gateway
lab-master-lab,foundry2-pavavy6pu5hpa,Microsoft.CognitiveServices,eastus,2024-01-15,980.25,USD,env=prod;project=ai-gateway
lab-master-lab,foundry3-pavavy6pu5hpa,Microsoft.CognitiveServices,norwayeast,2024-01-15,850.00,USD,env=prod;project=ai-gateway
lab-master-lab,storage-pavavy6pu5hpa,Microsoft.Storage,uksouth,2024-01-15,45.30,USD,env=prod;project=ai-gateway
lab-master-lab,cosmos-pavavy6pu5hpa,Microsoft.DocumentDB,uksouth,2024-01-15,180.00,USD,env=prod;project=ai-gateway
lab-master-lab,search-pavavy6pu5hpa,Microsoft.Search,uksouth,2024-01-15,120.50,USD,env=prod;project=ai-gateway
lab-master-lab,apim-pavavy6pu5hpa,Microsoft.ApiManagement,uksouth,2024-01-16,255.75,USD,env=prod;project=ai-gateway
lab-master-lab,foundry1-pavavy6pu5hpa,Microsoft.CognitiveServices,uksouth,2024-01-16,1350.00,USD,env=prod;project=ai-gateway
lab-master-lab,foundry2-pavavy6pu5hpa,Microsoft.CognitiveServices,eastus,2024-01-16,1100.50,USD,env=prod;project=ai-gateway
lab-master-lab,foundry3-pavavy6pu5hpa,Microsoft.CognitiveServices,norwayeast,2024-01-16,920.75,USD,env=prod;project=ai-gateway
lab-master-lab,storage-pavavy6pu5hpa,Microsoft.Storage,uksouth,2024-01-16,47.80,USD,env=prod;project=ai-gateway
lab-master-lab,cosmos-pavavy6pu5hpa,Microsoft.DocumentDB,uksouth,2024-01-16,185.00,USD,env=prod;project=ai-gateway
lab-master-lab,search-pavavy6pu5hpa,Microsoft.Search,uksouth,2024-01-16,125.00,USD,env=prod;project=ai-gateway
lab-master-lab,apim-pavavy6pu5hpa,Microsoft.ApiManagement,uksouth,2024-01-17,260.00,USD,env=prod;project=ai-gateway
lab-master-lab,foundry1-pavavy6pu5hpa,Microsoft.CognitiveServices,uksouth,2024-01-17,1500.25,USD,env=prod;project=ai-gateway
lab-master-lab,foundry2-pavavy6pu5hpa,Microsoft.CognitiveServices,eastus,2024-01-17,1250.00,USD,env=prod;project=ai-gateway
lab-master-lab,foundry3-pavavy6pu5hpa,Microsoft.CognitiveServices,norwayeast,2024-01-17,1050.50,USD,env=prod;project=ai-gateway
lab-master-lab,storage-pavavy6pu5hpa,Microsoft.Storage,uksouth,2024-01-17,50.20,USD,env=prod;project=ai-gateway
lab-master-lab,cosmos-pavavy6pu5hpa,Microsoft.DocumentDB,uksouth,2024-01-17,190.00,USD,env=prod;project=ai-gateway
lab-master-lab,search-pavavy6pu5hpa,Microsoft.Search,uksouth,2024-01-17,130.25,USD,env=prod;project=ai-gateway
